CHEMBL524266	Nc1nccc(-c2cc3c([nH]2)C(CCF)CNC3=O)n1
CHEMBL247798	CCNC(=O)Nc1ccc(CNc2ncsc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)cn1
CHEMBL375525	CCN(C)C(=O)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL375525	CCN(C)C(=O)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
CHEMBL222249	O=C(NCc1ccc(F)c(F)c1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL222249	O=C(NCc1ccc(F)c(F)c1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
CHEMBL576048	Cc1cnc(Nc2ccc(Cl)cc2F)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1
CHEMBL576683	Cc1cnc(Nc2cccc3c2OC(F)(F)O3)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1
CHEMBL235345	O=C1N=C(NC2CC2c2ccccc2)S/C1=C\c1ccc2ncccc2c1
CHEMBL235345	O=C1N=C([N-]C2CC2c2ccccc2)S/C1=C\c1ccc2ncccc2c1
CHEMBL374677	O=C(NC(CO)c1ccc(F)cc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL374677	O=C(NC(CO)c1ccc(F)cc1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
CHEMBL318804	COc1cc2c(Nc3ccc(Sc4nccn4C)c(Cl)c3)c(C#N)cnc2cc1OCCCN1CCOCC1
CHEMBL318804	COc1cc2c(Nc3ccc(Sc4nccn4C)c(Cl)c3)c(C#N)cnc2cc1OCCC[NH+]1CCOCC1
CHEMBL247619	CNC(=O)Nc1ccc(CNc2c(C(=O)Nc3ccc4c(c3)OC(F)(F)C(F)(F)O4)cnn2C)cn1
CHEMBL247619	CNC(=O)Nc1ccc(CNc2c(C(=O)Nc3ccc4c(c3)OC(F)(F)C(F)(F)O4)c[nH+]n2C)cn1
CHEMBL437943	CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4cccnc4)cc3c21
CHEMBL221109	O=C(NCc1ccncc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL221109	O=C(NCc1ccncc1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
CHEMBL80837	Cc1c(Cc2ccccc2)c(=O)oc2cc(OC(=O)N(C)C)c(Cl)cc12
CHEMBL569181	COc1cccc(Nc2ncc(C)c(-c3c[nH]c(C(=O)NC(CO)c4cccc(Cl)c4)c3)n2)c1OC
CHEMBL565459	Cc1cnc(Nc2ccccc2)nc1-c1c[nH]c(C(=O)NC(CO)c2ccccc2)c1
CHEMBL332551	Nc1[nH]c([O-])c(C2=C3C(=Nc4ccccc43)C(=O)NCC2)[nH+]1
CHEMBL220112	O=C(NC(CO)c1ccccc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL220112	O=C(NC(CO)c1ccccc1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
CHEMBL565460	Cc1cccc(C(CO)NC(=O)c2cc(-c3nc(Nc4ccccc4)ncc3C)c[nH]2)c1
CHEMBL583042	Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1
CHEMBL550658	Nc1ncc(-c2ccc(C(F)(F)F)cc2)c(-c2c[nH]c3ccccc23)n1
CHEMBL361708	N=C1N=C([O-])/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1
CHEMBL361708	[NH-]C1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1
CHEMBL361708	NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1
CHEMBL568937	Cc1cnc(Nc2cccc3c2CCC3)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1
CHEMBL582829	Cc1cnc(Nc2cccc(F)c2C)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1
CHEMBL571030	Cc1cnc(Nc2ccccc2C(F)(F)F)nc1-c1c[nH]c(C(=O)NC(CO)c2ccccc2)c1
CHEMBL199395	C=CCn1nc(N)c2cc(-c3c(-c4ccccc4)nn4ccccc34)nnc21
CHEMBL571484	Cc1cnc(Nc2cccc3c2OCO3)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1
CHEMBL571031	Cc1ccccc1Nc1ncc(C)c(-c2c[nH]c(C(=O)NC(CO)c3cccc(Cl)c3)c2)n1
CHEMBL383264	[NH3+]C(COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12
CHEMBL220272	O=C(NOCc1ccccc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL220272	O=C(NOCc1ccccc1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
CHEMBL572157	Cc1cnc(Nc2cccc(C)c2C)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1
CHEMBL220320	O=C(NCc1ccccc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL220320	O=C(NCc1ccccc1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
CHEMBL219988	O=C(NC(CO)c1ccccc1F)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL219988	O=C(NC(CO)c1ccccc1F)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
CHEMBL219790	O=C(NC(CO)c1ccc(F)c(F)c1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL219790	O=C(NC(CO)c1ccc(F)c(F)c1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
CHEMBL375621	O=C(c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1)N1CCc2ccccc2C1
CHEMBL375621	O=C(c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1)N1CCc2ccccc2C1
CHEMBL222465	O=C(NC(CO)c1ccc(C(F)(F)F)cc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL222465	O=C(NC(CO)c1ccc(C(F)(F)F)cc1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
CHEMBL220897	O=C(NC(CO)c1cc(Cl)cc(Cl)c1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL220897	O=C(NC(CO)c1cc(Cl)cc(Cl)c1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
CHEMBL375544	O=C(NC(CO)c1ccc(Cl)cc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL375544	O=C(NC(CO)c1ccc(Cl)cc1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
CHEMBL572162	Cc1cnc(Nc2ccccc2F)nc1-c1c[nH]c(C(=O)NC(CO)c2ccccc2)c1
CHEMBL571722	Cc1cnc(Nc2cccc3c2OCCO3)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1
CHEMBL255465	N=C1N=C([O-])/C(=C2\CCNC(=O)c3[nH]ccc32)N1
CHEMBL255465	[NH-]C1=NC(=O)/C(=C2\CCNC(=O)c3[nH]ccc32)N1
CHEMBL255465	NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]ccc32)N1
CHEMBL373797	CN(Cc1ccccc1)C(=O)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL373797	CN(Cc1ccccc1)C(=O)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
CHEMBL223471	COc1ccc(CNC(=O)c2cc(-c3[nH]ncc3-c3cccc(Cl)c3)c[nH]2)cc1
CHEMBL223471	COc1ccc(CNC(=O)c2cc(-c3n[nH]cc3-c3cccc(Cl)c3)c[nH]2)cc1
CHEMBL220343	O=C(NCc1cccnc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL220343	O=C(NCc1cccnc1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
CHEMBL571038	Cc1cnc(Nc2ccccc2Cl)nc1-c1c[nH]c(C(=O)NC(CO)c2ccccc2)c1
CHEMBL599428	Cn1nc(C(N)=O)c2c1-c1nc(NC3CCN(C(=O)c4ccccc4)CC3)ncc1CC2
CHEMBL259551	Nc1n[nH]c2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12
CHEMBL259551	Nc1[nH]nc2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12
CHEMBL397332	CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(N)=O)cs4)cc3c21
CHEMBL220110	O=C(c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1)N1CCCC1
CHEMBL220110	O=C(c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1)N1CCCC1
CHEMBL374876	O=C(c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1)N1CCOCC1
CHEMBL374876	O=C(c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1)N1CCOCC1
CHEMBL379218	Cc1n[nH]c2ccc(-c3cncc(OCC([NH3+])Cc4ccccc4)c3)cc12
CHEMBL221117	CC(NC(=O)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1)c1ccccc1
CHEMBL221117	CC(NC(=O)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1)c1ccccc1
CHEMBL162	C[NH2+]C1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL162	CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL219683	O=C(NCC1CCCO1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL219683	O=C(NCC1CCCO1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
CHEMBL577193	Cc1cnc(Nc2ccccc2)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1
CHEMBL247250	CNC(=O)Nc1ccc(CNc2ncsc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)cn1
CHEMBL568483	Cc1cc(Cl)ccc1Nc1ncc(C)c(-c2c[nH]c(C(=O)NC(CO)c3cccc(Cl)c3)c2)n1
CHEMBL373628	CC(NC(=O)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1)c1ccccc1
CHEMBL373628	CC(NC(=O)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1)c1ccccc1
CHEMBL570367	Cc1cnc(Nc2ccccc2)nc1-c1c[nH]c(C(=O)NC(CO)c2ccccc2)c1
CHEMBL570366	Cc1cnc(Nc2ccccc2O)nc1-c1c[nH]c(C(=O)NC(CO)c2ccccc2)c1
CHEMBL570111	Cc1cnc(Nc2cccc3c2CCCC3)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1
CHEMBL247797	CNC(=O)Nc1ccc(CNc2c(C(=O)Nc3ccc(SC(F)(F)F)cc3)cnn2C)cn1
CHEMBL247797	CNC(=O)Nc1ccc(CNc2c(C(=O)Nc3ccc(SC(F)(F)F)cc3)c[nH+]n2C)cn1
CHEMBL99203	Nc1ncnc2c1c(I)cn2C1OC(CO)C(O)C1O
CHEMBL440356	O=C1CCNC(=O)c2[nH]c(Br)cc21
CHEMBL359106	N=C1N=C([O-])/C(=C2/CCNC(=O)c3[nH]c(Br)cc32)N1
CHEMBL359106	[NH-]C1=NC(=O)/C(=C2/CCNC(=O)c3[nH]c(Br)cc32)N1
CHEMBL359106	NC1=NC(=O)/C(=C2/CCNC(=O)c3[nH]c(Br)cc32)N1
CHEMBL383104	CCCCNC(=O)N1Cc2n[nH]c(NC(=O)Cc3ccc(N4CCCC4)cc3)c2C1
CHEMBL383104	CCCCNC(=O)N1Cc2[nH]nc(NC(=O)Cc3ccc(N4CCCC4)cc3)c2C1
CHEMBL597754	CNC(=O)c1nn(C)c2c1CCc1cnc(NC3CCN(C(=O)C4CCN(S(C)(=O)=O)CC4)CC3)nc1-2
CHEMBL1092754	Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(-c3ccc(C(=O)NCCO)cc3)ccnc21
CHEMBL599224	CC(=O)N1CCC(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)CC1
CHEMBL414139	COc1cc2c(Nc3ccc(Oc4ccccc4)cc3)c(C#N)cnc2cc1OCCCN1CCOCC1
CHEMBL414139	COc1cc2c(Nc3ccc(Oc4ccccc4)cc3)c(C#N)cnc2cc1OCCC[NH+]1CCOCC1
CHEMBL220054	O=C(NC(CO)c1ccc(F)c(Cl)c1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL220054	O=C(NC(CO)c1ccc(F)c(Cl)c1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
CHEMBL584754	Cc1ccccc1Nc1ncc(C)c(-c2c[nH]c(C(=O)NC(CO)c3ccccc3)c2)n1
CHEMBL572361	CCc1ccccc1Nc1ncc(C)c(-c2c[nH]c(C(=O)NC(CO)c3ccccc3)c2)n1
CHEMBL571056	CCc1ccccc1Nc1ncc(C)c(-c2c[nH]c(C(=O)NC(CO)c3cccc(Cl)c3)c2)n1
CHEMBL380946	CCCCNC(=O)N1Cc2n[nH]c(NC(=O)C(C)c3ccc4ccccc4c3)c2C1
CHEMBL380946	CCCCNC(=O)N1Cc2[nH]nc(NC(=O)C(C)c3ccc4ccccc4c3)c2C1
CHEMBL78779	Cc1c(Cc2ccc(F)cc2)c(=O)oc2cc(OC(=O)N(C)C)ccc12
CHEMBL569869	Cc1cnc(Nc2ccccc2)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(F)c2)c1
CHEMBL219849	O=C(NC(CO)c1cccc(F)c1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL219849	O=C(NC(CO)c1cccc(F)c1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
CHEMBL220888	NC(=O)C(NC(=O)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1)c1ccccc1
CHEMBL220888	NC(=O)C(NC(=O)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1)c1ccccc1
CHEMBL373448	O=C(NCCc1cccnc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1
CHEMBL373448	O=C(NCCc1cccnc1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1
